# Objdump -D of an assembly source file with ALL instructions on ARMv8
0000 mov r0, r0
0001 mov r1, r0
0002 mov r2, r0
0003 mov r3, r0
0004 mov r4, r0
0005 mov r5, r0
0006 mov r6, r0
0007 mov r7, r0
0008 mov r0, r1
0009 mov r1, r1
000a mov r2, r1
000b mov r3, r1
000c mov r4, r1
000d mov r5, r1
000e mov r6, r1
000f mov r7, r1
0010 mov r0, r2
0011 mov r1, r2
0012 mov r2, r2
0013 mov r3, r2
0014 mov r4, r2
0015 mov r5, r2
0016 mov r6, r2
0017 mov r7, r2
0018 mov r0, r3
0019 mov r1, r3
001a mov r2, r3
001b mov r3, r3
001c mov r4, r3
001d mov r5, r3
001e mov r6, r3
001f mov r7, r3
0020 mov r0, r4
0021 mov r1, r4
0022 mov r2, r4
0023 mov r3, r4
0024 mov r4, r4
0025 mov r5, r4
0026 mov r6, r4
0027 mov r7, r4
0028 mov r0, r5
0029 mov r1, r5
002a mov r2, r5
002b mov r3, r5
002c mov r4, r5
002d mov r5, r5
002e mov r6, r5
002f mov r7, r5
0030 mov r0, r6
0031 mov r1, r6
0032 mov r2, r6
0033 mov r3, r6
0034 mov r4, r6
0035 mov r5, r6
0036 mov r6, r6
0037 mov r7, r6
0038 mov r0, r7
0039 mov r1, r7
003a mov r2, r7
003b mov r3, r7
003c mov r4, r7
003d mov r5, r7
003e mov r6, r7
003f mov r7, r7
0040 lsl r0, r0, #1
0041 lsl r1, r0, #1
0042 lsl r2, r0, #1
0043 lsl r3, r0, #1
0044 lsl r4, r0, #1
0045 lsl r5, r0, #1
0046 lsl r6, r0, #1
0047 lsl r7, r0, #1
0048 lsl r0, r1, #1
0049 lsl r1, r1, #1
004a lsl r2, r1, #1
004b lsl r3, r1, #1
004c lsl r4, r1, #1
004d lsl r5, r1, #1
004e lsl r6, r1, #1
004f lsl r7, r1, #1
0050 lsl r0, r2, #1
0051 lsl r1, r2, #1
0052 lsl r2, r2, #1
0053 lsl r3, r2, #1
0054 lsl r4, r2, #1
0055 lsl r5, r2, #1
0056 lsl r6, r2, #1
0057 lsl r7, r2, #1
0058 lsl r0, r3, #1
0059 lsl r1, r3, #1
005a lsl r2, r3, #1
005b lsl r3, r3, #1
005c lsl r4, r3, #1
005d lsl r5, r3, #1
005e lsl r6, r3, #1
005f lsl r7, r3, #1
0060 lsl r0, r4, #1
0061 lsl r1, r4, #1
0062 lsl r2, r4, #1
0063 lsl r3, r4, #1
0064 lsl r4, r4, #1
0065 lsl r5, r4, #1
0066 lsl r6, r4, #1
0067 lsl r7, r4, #1
0068 lsl r0, r5, #1
0069 lsl r1, r5, #1
006a lsl r2, r5, #1
006b lsl r3, r5, #1
006c lsl r4, r5, #1
006d lsl r5, r5, #1
006e lsl r6, r5, #1
006f lsl r7, r5, #1
